CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
AMS;NETH;AMSTERDAM;STO;SWED;STOCKHOLM **;497 700;1 130
BCN;SPAN;BARCELONA;FRA;GERF;FRANKFURT;497 623;1 092
LON;UNKG;LONDON **;VCE;ITAL;VENICE;497 598;1 170
PDX;UNST;PORTLAND;RNO;UNST;RENO;497 586;715
BOS;UNST;BOSTON;HOU;UNST;HOUSTON **;497 526;2 587
OAK;UNST;OAKLAND;SLC;UNST;SALT LAKE CITY;497 334;945
CJJ;KORR;CHEONGJU;CJU;KORR;CHEJU;497 272;369
MSY;UNST;NEW ORLEANS;WAS;UNST;WASHINGTON **;496 860;1 548
PHX;UNST;PHOENIX;STL;UNST;ST LOUIS;496 606;2 028
CAG;ITAL;CAGLIARI;MIL;ITAL;MILANO **;496 437;698
SEA;UNST;SEATTLE;WAS;UNST;WASHINGTON **;495 598;3 719
DUB;IRLD;DUBLIN;NYC;UNST;NEW YORK **;495 270;5 106
AMS;NETH;AMSTERDAM;MSP;UNST;MINNEAPOLIS;494 264;6 679
CPH;DENM;COPENHAGEN **;HEL;FINL;HELSINKI;493 083;892
ATL;UNST;ATLANTA;STL;UNST;ST LOUIS;491 940;777
MIA;UNST;MIAMI **;SDQ;DOMR;SANTO DOMINGO;490 435;1 364
BWI;UNST;BALTIMORE;SDF;UNST;LOUISVILLE;490 086;794
BOS;UNST;BOSTON;PBI;UNST;PALM BEACH;488 904;1 929
FRA;GERF;FRANKFURT;LAX;UNST;LOS ANGELES **;488 824;9 316
CJU;KORR;CHEJU;TAE;KORR;TAEGU;488 688;335
BOG;COLM;BOGOTA;CTG;COLM;CARTAGENA;488 312;656
MAD;SPAN;MADRID **;NYC;UNST;NEW YORK **;485 002;5 769
CHI;UNST;CHICAGO **;CLT;UNST;CHARLOTTE;482 886;940
IST;TURK;ISTANBUL;PAR;FRAN;PARIS **;482 690;2 240
AUS;UNST;AUSTIN;SJC;UNST;SAN JOSE;481 994;2 361
MEM;UNST;MEMPHIS;NYC;UNST;NEW YORK **;481 498;1 534
MEX;MEXC;MEXICO CITY;NYC;UNST;NEW YORK **;481 093;3 358
FRA;GERF;FRANKFURT;YTO;CAND;TORONTO;480 463;6 339
HFD;UNST;HARTFORD SPRINGFIELDS;PBI;UNST;PALM BEACH;480 230;1 824
CPH;DENM;COPENHAGEN **;FRA;GERF;FRANKFURT;479 921;678
BGI;BARB;BARBADOS;LON;UNKG;LONDON **;479 755;6 717
ATL;UNST;ATLANTA;SEA;UNST;SEATTLE;479 506;3 501
DUB;IRLD;DUBLIN;PAR;FRAN;PARIS **;477 370;796
MAD;SPAN;MADRID **;VGO;SPAN;VIGO;476 667;464
CHI;UNST;CHICAGO **;PDX;UNST;PORTLAND;476 602;2 815
LAS;UNST;LAS VEGAS;ORL;UNST;ORLANDO;476 590;3 267
LAS;UNST;LAS VEGAS;TPA;UNST;TAMPA, FL **;476 530;3 187
ATH;GREC;ATHENS;MIL;ITAL;MILANO **;475 222;1 484
SAN;UNST;SAN DIEGO;WAS;UNST;WASHINGTON **;474 852;3 635
HFD;UNST;HARTFORD SPRINGFIELDS;TPA;UNST;TAMPA, FL **;473 910;1 790
ACE;SPNA;ARRECIFE;LON;UNKG;LONDON **;473 226;2 702
MSY;UNST;NEW ORLEANS;ORL;UNST;ORLANDO;473 072;879
BCN;SPAN;BARCELONA;IBZ;SPAN;IBIZA;471 791;277
FLL;UNST;FORT LAUDERDALE;LAX;UNST;LOS ANGELES **;468 758;3 759
NYC;UNST;NEW YORK **;SNA;UNST;ORANGE COUNT;467 450;3 921
ABY;UNST;ALBANY;ORL;UNST;ORLANDO;467 396;432
ATL;UNST;ATLANTA;FNT;UNST;FLINT;467 128;1 037
PAR;FRAN;PARIS **;PGF;FRAN;PERPIGNAN;466 970;668
BWI;UNST;BALTIMORE;SEA;UNST;SEATTLE;465 578;3 746
ATH;GREC;ATHENS;FRA;GERF;FRANKFURT;465 284;1 807
FAO;PORT;FARO;MAN;UNKG;MANCHESTER;464 993;1 867
ABQ;UNST;ALBUQUERQUE;LAS;UNST;LAS VEGAS;464 728;783
PAR;FRAN;PARIS **;STO;SWED;STOCKHOLM **;464 576;1 549
ORL;UNST;ORLANDO;SFO;UNST;SAN FRANCISCO;463 576;3 919
AKL;NEWZ;AUCKLAND;BNE;ASTL;BRISBANE;463 496;2 269
PUS;KORR;PUSAN;SFO;UNST;SAN FRANCISCO;462 385;9 066
BOS;UNST;BOSTON;PIT;UNST;PITTSBURGH;461 966;797
PMI;SPAN;PALMA DE MALLORCA;STR;GERF;STUTTGART;461 698;1 137
LON;UNKG;LONDON **;LYS;FRAN;LYON **;459 178;749
BUF;UNST;BUFFALO;CHI;UNST;CHICAGO **;458 484;739
BJS;CHIN;BEIJING;SIN;SING;SINGAPORE **;457 621;4 459
AUS;UNST;AUSTIN;NYC;UNST;NEW YORK **;456 430;2 428
MIA;UNST;MIAMI **;PHL;UNST;PHILADELPHIA;456 114;1 634
AJA;FRAN;AJACCIO;PAR;FRAN;PARIS **;455 555;908
AUS;UNST;AUSTIN;CHI;UNST;CHICAGO **;454 998;1 569
DJE;TUNS;JERBA;PAR;FRAN;PARIS **;454 192;1 790
HAJ;GERF;HANOVER;PMI;SPAN;PALMA DE MALLORCA;454 174;1 529
BOS;UNST;BOSTON;DET;UNST;DETROIT **;454 058;1 014
CHI;UNST;CHICAGO **;PAR;FRAN;PARIS **;453 937;6 656
AMS;NETH;AMSTERDAM;GVA;SWTZ;GENEVA;452 029;683
LAX;UNST;LOS ANGELES **;OSA;JAPN;OSAKA;451 454;9 179
HFD;UNST;HARTFORD SPRINGFIELDS;WAS;UNST;WASHINGTON **;451 210;513
MSP;UNST;MINNEAPOLIS;SAN;UNST;SAN DIEGO;450 966;2 462
ATL;UNST;ATLANTA;BUF;UNST;BUFFALO;450 808;1 144
ISP;UNST;LONG ISLAND MACARTHUR;TPA;UNST;TAMPA, FL **;450 270;1 665
RNO;UNST;RENO;SJC;UNST;SAN JOSE;450 254;303
CHI;UNST;CHICAGO **;SLC;UNST;SALT LAKE CITY;450 142;2 027
AHB;SAUD;ABHA;JED;SAUD;JEDDAH;449 000;502
HAJ;GERF;HANOVER;MUC;GERF;MUNICH;448 508;500
PHL;UNST;PHILADELPHIA;PHX;UNST;PHOENIX;448 294;3 333
CPT;SOUF;CAPE-TOWN;LON;UNKG;LONDON **;447 283;9 663
DEN;UNST;DENVER;PHL;UNST;PHILADELPHIA;446 628;2 519
FRA;GERF;FRANKFURT;STR;GERF;STUTTGART;445 579;157
HNL;UNST;HONOLULU;NGO;JAPN;NAGOYA;445 344;6 447
CLE;UNST;CLEVELAND;LAX;UNST;LOS ANGELES **;445 210;3 294
NYC;UNST;NEW YORK **;SAO;BRAZ;SAO PAULO **;443 592;7 650
NYC;UNST;NEW YORK **;PUS;KORR;PUSAN;443 550;11 241
NYC;UNST;NEW YORK **;PDX;UNST;PORTLAND;442 900;3 916
CPH;DENM;COPENHAGEN **;GOT;SWED;GOTEBORG **;442 502;267
BAQ;COLM;BARRANQUILLA;BOG;COLM;BOGOTA;442 390;691
